"date","close","volume","open","high","low"
"2017/05/24","157.7500","2987583.0000","158.3500","158.4800","157.1700"
"2017/05/23","157.9500","3366049.0000","157.7500","158.3100","156.8000"
"2017/05/22","157.1600","3736670.0000","157.8600","158.6000","156.4300"
"2017/05/19","157.0200","4066231.0000","156.1500","158.0500","155.9100"
"2017/05/18","155.7000","6285353.0000","153.6100","156.8900","153.2400"
"2017/05/17","153.2000","8163606.0000","158.0900","158.7800","153.0000"
"2017/05/16","159.4100","3453054.0000","160.5000","161.1800","159.3300"
"2017/05/15","160.0200","4962525.0000","160.2500","161.7800","159.7600"
"2017/05/12","160.8100","5090191.0000","159.1100","160.8400","158.5100"
"2017/05/11","158.5400","5674144.0000","160.3300","160.5200","157.5500"
"2017/05/10","160.2800","6861501.0000","157.8200","161.1000","156.5600"
"2017/05/09","157.4600","3908571.0000","156.1000","157.8500","155.9700"
"2017/05/08","156.3800","4815698.0000","156.5500","157.6400","155.3000"
"2017/05/05","156.6000","5323438.0000","158.5500","158.5900","155.9000"
"2017/05/04","157.2500","5556821.0000","155.5900","157.9000","154.5500"
"2017/05/03","155.5900","3926516.0000","156.2900","156.5400","154.8800"
"2017/05/02","156.4500","5095295.0000","155.7600","156.5000","154.6100"
"2017/05/01","155.3500","9015042.0000","151.9100","157.7000","151.6100"
"2017/04/28","152.2000","6359327.0000","152.7100","152.9700","150.9400"
"2017/04/27","153.0800","7706060.0000","150.6000","153.4900","149.3000"
"2017/04/26","150.1700","9262866.0000","151.5300","152.1500","148.9000"
"2017/04/25","152.1600","20655120.0000","147.4600","153.5200","146.2200"
"2017/04/24","143.8300","4792932.0000","143.6100","144.5000","143.4000"
"2017/04/21","142.8700","6246613.0000","141.3900","143.0300","140.9028"
"2017/04/20","141.1800","7244579.0000","140.3000","141.8000","139.2700"
"2017/04/19","139.7600","12387400.0000","143.3700","144.0000","138.6600"
"2017/04/18","143.3600","19662640.0000","147.3400","147.4000","140.0000"
"2017/04/17","147.2500","15993460.0000","144.4300","147.3200","144.4300"
"2017/04/13","142.9200","3676127.0000","144.2500","144.5500","142.7600"
"2017/04/12","143.8300","4383524.0000","144.8500","145.7400","143.5500"
"2017/04/11","144.3500","4619263.0000","144.2800","144.5400","141.9800"
"2017/04/10","143.8500","5796446.0000","143.0400","144.6500","141.2100"
"2017/04/07","143.1100","3032571.0000","143.7900","143.8900","142.7100"
"2017/04/06","143.7400","3306032.0000","144.0000","144.1400","143.0100"
"2017/04/05","143.6200","4584578.0000","146.1900","146.2500","143.2600"
"2017/04/04","145.5000","4345284.0000","146.8400","147.0900","144.8900"
"2017/04/03","146.9200","4604731.0000","146.7000","148.0050","145.7400"
"2017/03/31","147.8100","3880682.0000","148.0000","148.2250","147.3300"
"2017/03/30","148.0600","4452168.0000","146.8100","148.2900","146.5300"
"2017/03/29","146.4700","3847977.0000","145.5000","147.1800","144.9089"
"2017/03/28","145.1700","4636300.0000","144.1000","146.1100","143.9200"
"2017/03/27","144.0600","4768197.0000","140.8300","144.3900","140.0000"
"2017/03/24","142.0200","3545875.0000","142.3600","142.8000","141.5800"
"2017/03/23","141.8400","3703193.0000","142.1400","142.8900","141.2600"
"2017/03/22","142.6500","6474086.0000","142.5450","143.8000","140.7600"
"2017/03/21","142.4200","7655386.0000","146.7500","147.7000","142.1000"
"2017/03/20","145.8300","3396361.0000","145.4500","146.2500","144.5800"
"2017/03/17","145.1100","6216640.0000","144.0500","145.7600","143.4000"
"2017/03/16","144.3900","5277214.0000","145.5000","146.5000","144.2200"
"2017/03/15","145.2500","5984101.0000","144.2000","145.5200","143.2300"
"2017/03/14","143.1900","4656787.0000","142.9500","143.3100","141.7000"
"2017/03/13","143.5200","4915057.0000","140.9000","143.7100","140.3210"
"2017/03/10","140.8900","3315903.0000","141.3900","141.8000","140.2800"
"2017/03/09","140.5300","2647374.0000","140.0400","141.2400","139.7400"
"2017/03/08","140.3200","4088940.0000","141.4700","142.0600","139.7704"
"2017/03/07","141.4300","4239418.0000","141.9900","142.4000","140.3800"
"2017/03/06","141.9400","7111248.0000","141.0000","142.8400","140.5400"
"2017/03/03","139.1400","5400667.0000","139.6900","140.9100","138.2600"
"2017/03/02","139.5300","6114580.0000","142.1500","142.7000","139.0900"
"2017/03/01","142.6500","4167969.0000","142.8400","143.2600","142.1000"
"2017/02/28","142.1300","3860016.0000","143.3000","143.5700","141.8500"
"2017/02/27","143.4100","3905819.0000","143.1200","143.9200","142.3800"
"2017/02/24","143.2500","3299619.0000","141.8800","143.5600","141.5500"
"2017/02/23","142.7800","4665564.0000","144.4500","144.4900","141.5196"
"2017/02/22","143.8600","3478736.0000","142.9200","144.0000","142.1700"
"2017/02/21","142.6000","3563209.0000","142.9900","143.3800","141.8100"
"2017/02/17","142.2200","4585496.0000","141.7500","142.9000","141.2700"
"2017/02/16","142.0100","2843942.0000","142.4200","142.4400","141.0700"
